1,"[10.15387511253357, 8.674256801605225, 10.407625913619995, 9.331688165664673, 8.997948169708252]"
2,"[8.784519910812378, 8.581263065338135, 9.399212121963501, 10.153066158294678, 8.898396968841553]"
4,"[10.524292945861816, 8.786444664001465, 8.95621395111084, 8.564183950424194, 9.318921089172363]"
8,"[8.795273303985596, 7.842272043228149, 7.810473918914795, 7.6978559494018555, 8.766250133514404]"
16,"[6.003460884094238, 6.846242189407349, 7.056864976882935, 6.723093748092651, 6.874945878982544]"
32,"[5.259981870651245, 5.537394046783447, 5.595046043395996, 5.744365215301514, 5.843081951141357]"
64,"[5.1935811042785645, 4.0431389808654785, 4.683803081512451, 4.6901140213012695, 4.597491025924683]"
128,"[4.485798120498657, 4.137121677398682, 4.5617499351501465, 3.767169237136841, 4.326243162155151]"
256,"[4.171140909194946, 4.73934531211853, 4.2697038650512695, 4.104761123657227, 4.415996789932251]"
512,"[3.788403034210205, 4.333878040313721, 3.547121047973633, 4.278670787811279, 4.321859121322632]"
1024,"[3.9418346881866455, 4.468963146209717, 4.237160921096802, 3.8445818424224854, 4.349128007888794]"
Average,"[9.513078832626343, 9.163291645050048, 9.230011320114135, 8.18242506980896, 6.700921535491943, 5.595973825454712, 4.641625642776489, 4.2556164264678955, 4.340189599990845, 4.053986406326294, 4.168333721160889]"
