0.01,"[3.237884998321533, 3.332858085632324, 3.463312864303589, 3.4028689861297607, 3.115111827850342]"
0.02,"[3.250115156173706, 3.5973191261291504, 3.191833972930908, 3.380530834197998, 3.2847039699554443]"
0.03,"[3.7394649982452393, 3.40090012550354, 3.4450840950012207, 3.86553692817688, 3.8456602096557617]"
0.04,"[3.878373861312866, 3.8209338188171387, 4.108147859573364, 4.160425901412964, 3.9981930255889893]"
0.05,"[4.34011697769165, 4.486170053482056, 4.601043224334717, 3.843353033065796, 4.156841993331909]"
0.06,"[4.947151184082031, 5.2136359214782715, 4.99970817565918, 4.691356897354126, 4.571045875549316]"
0.07,"[4.633547782897949, 4.413862228393555, 4.943769216537476, 4.832587718963623, 4.999722957611084]"
0.08,"[5.680847883224487, 5.6928839683532715, 5.396722078323364, 5.300529718399048, 5.711104154586792]"
0.09,"[5.903561115264893, 6.834596157073975, 6.864567995071411, 6.094125032424927, 6.591078042984009]"
0.1,"[7.952674150466919, 6.403167963027954, 6.83945894241333, 6.246453046798706, 6.9024128913879395]"
Average,"[3.31040735244751, 3.3409006118774416, 3.6593292713165284, 3.9932148933410643, 4.285505056381226, 4.884579610824585, 4.7646979808807375, 5.556417560577392, 6.457585668563842, 6.868833398818969]"
