1,"[9.774863004684448, 9.918235063552856, 8.608669996261597, 8.786858081817627, 9.349765062332153]"
2,"[8.420793056488037, 9.851446628570557, 9.023335933685303, 7.72389817237854, 8.201207160949707]"
4,"[9.005328178405762, 8.622994899749756, 9.423227310180664, 8.564659833908081, 8.261014223098755]"
8,"[8.38827633857727, 8.447500705718994, 9.127607107162476, 7.923637866973877, 8.045032978057861]"
16,"[7.727190017700195, 8.157188177108765, 8.583652973175049, 7.88149094581604, 8.659311771392822]"
32,"[8.204364776611328, 8.594651937484741, 8.38811707496643, 9.253148794174194, 9.837687015533447]"
64,"[7.30492901802063, 8.484428882598877, 7.206662178039551, 8.687740802764893, 7.37965202331543]"
128,"[7.511962175369263, 6.333087205886841, 9.075728178024292, 7.508965730667114, 7.48800802230835]"
256,"[8.001849174499512, 7.7137131690979, 7.985753059387207, 6.649092197418213, 7.571451902389526]"
512,"[7.253168106079102, 6.323775291442871, 7.027493238449097, 8.28413200378418, 8.591284990310669]"
1024,"[9.876588821411133, 8.045880794525146, 8.213115215301514, 7.727421045303345, 7.86043906211853]"
Average,"[9.287678241729736, 8.644136190414429, 8.775444889068604, 8.386410999298096, 8.201766777038575, 8.855593919754028, 7.812682580947876, 7.583550262451172, 7.584371900558471, 7.495970726013184, 8.344688987731933]"
