0.01,"[2.851552963256836, 2.4430668354034424, 2.928542137145996, 2.5183537006378174, 2.105358123779297]"
0.02,"[3.5242080688476562, 3.787038803100586, 3.2517130374908447, 3.6381518840789795, 3.3846280574798584]"
0.03,"[4.302106142044067, 5.893679141998291, 5.237077951431274, 4.772977828979492, 5.510454893112183]"
0.04,"[6.689213991165161, 5.678261041641235, 5.707693815231323, 7.320297002792358, 7.215593099594116]"
0.05,"[7.695873975753784, 7.0378758907318115, 7.77724289894104, 8.753585815429688, 8.733959913253784]"
0.06,"[9.56681513786316, 10.501326084136963, 9.613192081451416, 10.027388334274292, 9.716057062149048]"
0.07,"[9.503336906433105, 11.857531070709229, 10.496294021606445, 10.617484092712402, 11.17383599281311]"
0.08,"[12.127828121185303, 11.71206283569336, 12.024420976638794, 12.641658306121826, 13.287363052368164]"
0.09,"[14.70070195198059, 15.513921022415161, 14.053069114685059, 14.519162893295288, 13.01899790763855]"
0.1,"[15.966999053955078, 14.932444095611572, 15.17926812171936, 14.933482885360718, 15.952086687088013]"
Average,"[2.569374752044678, 3.517147970199585, 5.143259191513062, 6.522211790084839, 7.9997076988220215, 9.884955739974975, 10.729696416854859, 12.35866665840149, 14.36117057800293, 15.392856168746949]"
